newspaper,year,month,day,page,article,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__abomentions,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__nonabospeeches,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__misc,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__control,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__abomentions,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__nonabospeeches,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__misc,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__control,"bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__abomentions","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__nonabospeeches","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__misc","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__control","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__abomentions","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__nonabospeeches","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__misc","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__control"
ANJO,1847,05,26,0007,041,60.101741,36.576013,2.151017,1.171229,0.021523,41.186994,0.000000,58.791483,0.011282,55.310972,0.000000,44.677745,0.000235,0.005609,0.000001,99.994155
ANJO,1847,06,02,0003,004,98.261291,0.184847,1.549307,0.004555,99.491458,0.486318,0.000308,0.021916,99.960170,0.039830,0.000000,0.000000,98.708285,0.022987,1.267226,0.001502
ANJO,1847,06,02,0007,030,76.862284,21.978451,1.122444,0.036821,0.023571,78.505455,0.000000,21.470974,7.423016,92.251055,0.000000,0.325928,0.000396,0.029982,0.000000,99.969622
ANJO,1847,06,23,0006,025,91.348270,1.327518,7.247914,0.076298,2.793186,97.094548,0.000000,0.112266,96.154391,3.845331,0.000000,0.000278,59.610787,1.521958,0.001390,38.865866
ANJO,1847,06,23,0008,042,54.831205,44.516081,0.647006,0.005708,0.377925,97.584162,0.000000,2.037913,0.002727,99.992454,0.000000,0.004818,0.190749,24.625931,0.000211,75.183109
ANJO,1847,06,23,0007,036,62.008944,37.286194,0.218706,0.486156,0.023571,78.505455,0.000000,21.470974,0.137424,79.188713,0.000000,20.673862,0.000678,0.007119,0.000001,99.992202
ANJO,1847,06,30,0006,022,0.182481,61.731295,0.024265,38.061959,91.601357,8.392932,0.000000,0.005711,28.251777,71.694659,0.000000,0.053564,4.760819,1.772094,0.020057,93.447030
ANJO,1847,06,30,0007,035,62.510938,33.459973,3.953840,0.075248,0.023571,78.505455,0.000000,21.470974,0.042561,94.447206,0.000000,5.510233,0.003000,0.107081,0.000006,99.889912
ANJO,1847,07,07,0007,039,70.929157,24.655946,2.421398,1.993499,0.023571,78.505455,0.000000,21.470974,0.023500,98.504401,0.000000,1.472099,0.000787,0.012371,0.000000,99.986842
ANJO,1847,07,21,0002,003,42.975769,55.645221,0.034058,1.344952,0.368726,98.942514,0.000000,0.688760,57.759096,38.179886,0.000000,4.061018,0.144366,3.483369,0.000046,96.372218
ANJO,1847,08,18,0006,030,0.310826,87.293380,0.000452,12.395342,0.337071,63.255728,0.000000,36.407201,96.567017,1.457477,0.000000,1.975506,0.000400,0.025545,0.000000,99.974054
ANJO,1847,08,25,0007,035,68.615824,30.414765,0.748539,0.220873,0.023571,78.505455,0.000000,21.470974,0.007276,89.541460,0.000000,10.451264,0.000514,0.038862,0.000000,99.960625
ANJO,1847,08,25,0003,006,60.635238,34.602055,1.836288,2.926419,0.006947,14.047146,0.000000,85.945906,0.000035,0.234374,0.000000,99.765591,0.000097,0.025070,0.000001,99.974832
ANJO,1847,09,15,0002,003,71.192184,28.679082,0.120419,0.008315,8.359631,91.639844,0.000000,0.000525,56.758969,43.240964,0.000000,0.000067,69.877389,29.919719,0.000404,0.202487
ANJO,1847,09,15,0007,043,66.934447,26.523606,5.707022,0.834925,0.022314,96.405120,0.000000,3.572566,0.136706,21.297215,0.000000,78.566079,0.003663,0.373483,0.000006,99.622848
ANJO,1847,09,22,0007,037,92.014529,6.982638,0.968539,0.034295,0.023571,78.505455,0.000000,21.470974,0.047061,5.427300,0.000000,94.525639,0.001310,0.111224,0.000001,99.887465
ANJO,1847,09,29,0007,039,86.115829,10.187549,3.437899,0.258723,0.023571,78.505455,0.000000,21.470974,0.010020,95.928352,0.000000,4.061628,0.000917,0.809795,0.000000,99.189287
ANJO,1847,10,27,0007,037,88.672290,4.674162,6.425890,0.227658,0.023571,78.505455,0.000000,21.470974,8.751125,79.452639,0.000000,11.796237,0.003027,0.257024,0.000001,99.739949
ANJO,1847,11,10,0007,038,57.469946,28.302794,10.745395,3.481865,0.377925,97.584162,0.000000,2.037913,13.307812,72.892224,0.000000,13.799965,0.014827,1.002823,0.000002,98.982349
ANJO,1847,11,17,0006,030,0.847537,95.848327,0.000331,3.303804,0.222234,99.294518,0.000000,0.483247,64.737686,35.251838,0.000000,0.010477,0.132392,3.713610,0.000002,96.153996
ANJO,1847,11,17,0008,043,96.814223,0.185342,2.993699,0.006735,0.107487,98.881323,0.000000,1.011191,1.948501,98.051489,0.000000,0.000010,12.997758,80.253214,0.002415,6.746613
ANJO,1847,11,17,0003,005,85.049010,14.905897,0.041820,0.003273,0.130496,99.069838,0.000000,0.799666,98.750934,1.249066,0.000000,0.000000,41.397898,49.388298,0.000824,9.212980
ANJO,1847,11,17,0003,008,78.158219,19.233459,0.257166,2.351156,0.023571,78.505455,0.000000,21.470974,0.165264,88.844254,0.000000,10.990481,0.000021,0.008882,0.000000,99.991097
ANJO,1847,12,01,0005,016,0.016819,48.463176,0.000129,51.519876,54.251010,26.685459,0.000000,19.063531,0.002766,98.667961,0.000000,1.329273,0.000090,0.007921,0.000000,99.991989
ANJO,1847,12,08,0007,041,78.053426,21.297778,0.589271,0.059525,0.023571,78.505455,0.000000,21.470974,0.276611,64.783813,0.000000,34.939576,0.000471,0.200027,0.000001,99.799502
ANJO,1847,12,08,0004,018,0.080352,35.935143,0.000540,63.983965,50.860043,48.882771,0.000029,0.257157,5.190641,70.867791,0.000000,23.941568,0.001370,0.010397,0.000019,99.988214
ANJO,1847,12,15,0007,036,61.181966,38.538408,0.165606,0.114020,0.023571,78.505455,0.000000,21.470974,0.012148,22.339046,0.000000,77.648807,0.000514,0.038862,0.000000,99.960625
ANJO,1847,12,29,0007,035,63.332252,32.862126,3.221009,0.584613,0.098614,11.822638,0.000001,88.078747,0.661821,83.739368,0.000000,15.598810,0.000311,0.004469,0.000004,99.995216
ANJO,1848,01,05,0003,004,88.275489,2.285845,9.435220,0.003446,10.261293,89.537974,0.000000,0.200733,0.002319,99.997681,0.000000,0.000000,59.322741,40.596366,0.030001,0.050892
ANJO,1848,01,05,0007,037,73.676910,25.835913,0.372680,0.114497,0.023571,78.505455,0.000000,21.470974,1.280257,42.518162,0.000000,56.201581,0.001219,0.115202,0.000000,99.883578
ANJO,1848,01,12,0007,033,64.350390,24.881255,3.895677,6.872678,0.001106,19.319603,0.000000,80.679292,0.053515,12.850701,0.000000,87.095784,0.000034,0.005969,0.000000,99.993996
ANJO,1848,01,19,0003,007,74.297647,24.149986,1.320458,0.231909,1.620514,93.394734,0.000000,4.984753,0.523585,99.476361,0.000000,0.000054,1.593670,2.407085,0.000212,95.999034
ANJO,1848,01,26,0002,004,75.465617,23.194306,1.009535,0.330542,0.197047,41.114685,0.000000,58.688268,0.736258,99.186358,0.000000,0.077384,0.140263,0.840912,0.000063,99.018762
ANJO,1848,02,09,0004,013,57.284185,41.739220,0.414312,0.562283,0.023571,78.505455,0.000000,21.470974,0.000140,0.005437,0.000000,99.994422,0.000050,0.035504,0.000000,99.964447
ANJO,1848,02,09,0006,025,86.106568,13.722392,0.119642,0.051398,96.196146,2.259998,0.000001,1.543855,72.107800,27.892199,0.000000,0.000001,99.213316,0.667024,0.002133,0.117527
ANJO,1848,02,09,0007,037,70.929157,24.655946,2.421398,1.993499,0.897205,11.728130,0.000001,87.374664,2.830467,54.866440,0.000000,42.303093,0.004010,0.002370,0.000135,99.993485
ANJO,1848,02,16,0006,021,98.630893,1.322786,0.046277,0.000045,0.173854,99.535580,0.000000,0.290566,1.694862,98.305138,0.000000,0.000000,99.535867,0.358630,0.004863,0.100640
ANJO,1848,03,01,0006,019,81.573471,16.251238,2.172932,0.002359,33.604548,61.600851,0.000000,4.794601,0.000299,99.999425,0.000000,0.000275,58.464252,30.399552,0.029410,11.106786
ANJO,1848,03,15,0002,003,11.013774,88.752976,0.215867,0.017383,87.692858,11.891446,0.000000,0.415697,93.478876,6.518604,0.000000,0.002520,85.683568,4.726095,0.101348,9.488988
ANJO,1848,03,15,0004,012,0.070691,35.779183,0.003834,64.146292,71.808810,27.681528,0.000082,0.509580,0.024358,0.835043,0.000000,99.140599,0.005817,0.013550,0.000569,99.980064
ANJO,1848,03,22,0007,030,60.412592,29.930092,4.138158,5.519159,0.023571,78.505455,0.000000,21.470974,0.004939,50.613388,0.000000,49.381673,0.002847,0.064033,0.000002,99.933119
ANJO,1848,04,05,0007,034,53.731540,31.642876,13.755996,0.869587,0.004008,4.386660,0.000000,95.609332,0.011383,94.106730,0.000000,5.881887,0.000461,0.007483,0.000016,99.992040
ANJO,1848,04,19,0007,031,50.495762,21.980800,0.547606,26.975832,0.377925,97.584162,0.000000,2.037913,0.896397,97.247245,0.000000,1.856357,0.010695,0.026792,0.000004,99.962509
ANJO,1848,05,17,0007,037,54.261148,44.506182,1.145072,0.087598,0.033562,7.002876,0.000000,92.963562,0.007189,2.783229,0.000000,97.209581,0.000177,0.001860,0.000000,99.997963
ANJO,1848,05,31,0004,008,77.188025,16.013257,0.212957,6.585761,0.001106,19.319603,0.000000,80.679292,0.000001,0.000592,0.000000,99.999407,0.000014,0.017926,0.000000,99.982060
ANJO,1848,06,21,0007,032,57.805740,40.060687,0.271423,1.862150,0.039160,42.459933,0.000000,57.500908,0.134419,49.348464,0.000000,50.517117,0.000243,0.017468,0.000001,99.982289
ANJO,1848,06,21,0003,004,85.363510,12.001507,2.459070,0.175913,0.450169,98.405832,0.000053,1.143946,0.016725,99.708059,0.000000,0.275215,0.337374,14.446055,0.015567,85.201003
ANJO,1848,06,28,0006,026,96.043203,0.002394,3.954004,0.000399,0.710418,99.230628,0.000000,0.058954,21.806333,78.193667,0.000000,0.000001,93.823457,6.078794,0.073932,0.023817
ANJO,1848,07,05,0006,024,97.092205,1.569449,1.336577,0.001769,2.869159,97.125159,0.000000,0.005682,92.370925,7.629072,0.000000,0.000003,95.458199,4.464073,0.000112,0.077615
ANJO,1848,07,05,0007,034,91.762954,7.882483,0.046236,0.308327,0.023571,78.505455,0.000000,21.470974,0.233006,51.521280,0.000000,48.245714,0.000678,0.007119,0.000001,99.992202
ANJO,1848,07,19,0006,028,95.501536,4.311388,0.186763,0.000313,0.648032,98.656806,0.000000,0.695162,36.726013,63.273984,0.000000,0.000003,88.768255,6.582685,0.005703,4.643356
ANJO,1848,07,19,0007,037,58.152023,39.874665,1.133463,0.839848,0.023571,78.505455,0.000000,21.470974,0.073753,61.574151,0.000000,38.352096,0.003388,0.106675,0.000003,99.889934
ANJO,1848,08,09,0007,038,92.166921,5.845591,0.255438,1.732049,0.023571,78.505455,0.000000,21.470974,0.379958,35.580812,0.000000,64.039230,0.000678,0.021354,0.000001,99.977967
ANJO,1848,08,23,0006,030,67.809907,32.139499,0.015551,0.035042,0.001294,1.422762,0.000000,98.575944,0.000555,99.999428,0.000000,0.000017,0.012338,0.048867,0.000039,99.938756
ANJO,1848,08,30,0007,035,85.664461,12.616514,0.554277,1.164748,0.005545,10.562149,0.000000,89.432307,0.031101,1.216061,0.000000,98.752838,0.000220,0.020957,0.000000,99.978823
ANJO,1848,09,06,0008,041,89.619293,6.141954,4.232338,0.006416,0.377925,97.584162,0.000000,2.037913,5.422116,94.577807,0.000000,0.000077,89.018840,3.888772,0.018197,7.074192
ANJO,1848,09,06,0007,036,83.770419,16.098954,0.067975,0.062651,0.023571,78.505455,0.000000,21.470974,0.205528,20.261757,0.000000,79.532715,0.001220,0.064034,0.000001,99.934746
ANJO,1848,10,04,0007,030,54.261148,44.506182,1.145072,0.087598,0.023571,78.505455,0.000000,21.470974,0.081195,79.024035,0.000000,20.894770,0.000308,0.012957,0.000000,99.986734
ANJO,1848,10,11,0006,021,60.790317,39.017500,0.176329,0.015853,51.457407,48.530408,0.000000,0.012185,62.669445,37.330552,0.000000,0.000003,93.980791,3.794360,0.003941,2.220908
ANJO,1848,10,11,0007,038,72.573234,27.057343,0.218787,0.150635,0.099741,94.648842,0.000000,5.251417,0.077835,86.859722,0.000000,13.062444,0.001282,0.028763,0.000000,99.969955
ANJO,1848,11,01,0003,006,7.825503,80.760131,0.014878,11.399487,89.088020,10.885509,0.000003,0.026468,23.056699,76.943292,0.000000,0.000009,2.960938,12.011655,0.000502,85.026905
